event_id,case_id,person_id,event_type,timestamp,location,notes
EVT-0212,CASE-035,P-0151,Vehicle Sighted,2024-01-19 11:00:00,Kozhikode,Vehicle Sighted recorded during Vehicle Theft investigation.
EVT-0213,CASE-005,P-0217,Vehicle Sighted,2024-07-13 23:00:00,Kakinada,Suspect Movement recorded during Kidnapping investigation.
EVT-0214,CASE-015,P-0631,Money Transfer,2024-07-03 16:00:00,Parbhani,Vehicle Sighted recorded during Money Laundering investigation.
EVT-0215,CASE-041,P-0291,Witness Statement,2026-04-16 12:00:00,Panihati,Vehicle Sighted recorded during Money Laundering investigation.
EVT-0216,CASE-057,P-0606,Location Ping,2026-02-26 21:00:00,Chinsurah,Witness Statement recorded during Vehicle Theft investigation.
EVT-0217,CASE-020,P-0594,Suspect Movement,2023-08-19 22:00:00,Jamnagar,Call Made recorded during Extortion investigation.
EVT-0218,CASE-011,P-0082,Location Ping,2026-10-06 20:00:00,Khora ,Suspect Movement recorded during Smuggling investigation.
EVT-0219,CASE-034,P-0403,Suspect Movement,2024-05-26 12:00:00,Jamalpur,Suspect Movement recorded during Money Laundering investigation.
EVT-0220,CASE-028,P-0441,Money Transfer,2026-04-14 13:00:00,Deoghar,Suspect Movement recorded during Smuggling investigation.
EVT-0221,CASE-011,P-0139,Witness Statement,2026-10-10 17:00:00,Proddatur,Location Ping recorded during Smuggling investigation.
EVT-0222,CASE-065,P-0392,Witness Statement,2023-04-11 14:00:00,Jamnagar,Suspect Movement recorded during Money Laundering investigation.
EVT-0223,CASE-020,P-0533,Suspect Movement,2023-08-16 11:00:00,Ongole,Vehicle Sighted recorded during Extortion investigation.
EVT-0224,CASE-065,P-0404,Location Ping,2023-04-01 02:00:00,Kota,Money Transfer recorded during Money Laundering investigation.
EVT-0225,CASE-055,P-0451,Evidence Collected,2026-04-04 10:00:00,Korba,Vehicle Sighted recorded during Kidnapping investigation.
EVT-0226,CASE-038,P-0338,Money Transfer,2025-02-21 09:00:00,Gandhidham,Vehicle Sighted recorded during Financial Fraud investigation.
EVT-0227,CASE-004,P-0116,Location Ping,2024-02-13 08:00:00,Nashik,Witness Statement recorded during Kidnapping investigation.
EVT-0228,CASE-026,P-0272,Money Transfer,2026-01-05 03:00:00,Raichur,Call Made recorded during Kidnapping investigation.
EVT-0229,CASE-040,P-0244,Evidence Collected,2023-05-04 05:00:00,Yamunanagar,Witness Statement recorded during Robbery investigation.
EVT-0230,CASE-005,P-0462,Call Made,2024-07-19 05:00:00,Tadepalligudem,Vehicle Sighted recorded during Kidnapping investigation.
EVT-0231,CASE-043,P-0009,Money Transfer,2023-09-02 08:00:00,Warangal,Location Ping recorded during Smuggling investigation.
EVT-0232,CASE-038,P-0257,Money Transfer,2025-02-07 05:00:00,Tenali,Money Transfer recorded during Financial Fraud investigation.
EVT-0233,CASE-001,P-0607,Suspect Movement,2026-08-02 16:00:00,Buxar,Money Transfer recorded during Financial Fraud investigation.
EVT-0234,CASE-004,P-0016,Suspect Movement,2024-02-17 19:00:00,Jalna,Vehicle Sighted recorded during Kidnapping investigation.
EVT-0235,CASE-020,P-0447,Call Made,2023-08-19 21:00:00,Bidar,Suspect Movement recorded during Extortion investigation.
EVT-0236,CASE-032,P-0479,Location Ping,2023-07-15 20:00:00,Aurangabad,Money Transfer recorded during Assault investigation.
EVT-0237,CASE-040,P-0371,Money Transfer,2023-05-10 16:00:00,Tiruppur,Witness Statement recorded during Robbery investigation.
EVT-0238,CASE-042,P-0323,Evidence Collected,2023-06-08 19:00:00,Gwalior,Witness Statement recorded during Smuggling investigation.
EVT-0239,CASE-001,P-0098,Money Transfer,2026-07-29 22:00:00,Imphal,Call Made recorded during Financial Fraud investigation.
EVT-0240,CASE-015,P-0173,Suspect Movement,2024-06-23 23:00:00,Hosur,Location Ping recorded during Money Laundering investigation.
EVT-0241,CASE-078,P-0347,Vehicle Sighted,2025-07-12 16:00:00,Bijapur,Evidence Collected recorded during Financial Fraud investigation.
EVT-0242,CASE-073,P-0647,Money Transfer,2024-05-18 10:00:00,Tirunelveli,Call Made recorded during Drug Trafficking investigation.
EVT-0243,CASE-012,P-0565,Evidence Collected,2025-08-09 15:00:00,Cuttack,Call Made recorded during Money Laundering investigation.
EVT-0244,CASE-002,P-0116,Evidence Collected,2023-07-24 16:00:00,Kadapa,Call Made recorded during Smuggling investigation.
EVT-0245,CASE-041,P-0620,Call Made,2026-04-19 06:00:00,Singrauli,Evidence Collected recorded during Money Laundering investigation.
EVT-0246,CASE-032,P-0320,Evidence Collected,2023-07-04 12:00:00,Sambalpur,Suspect Movement recorded during Assault investigation.
EVT-0247,CASE-016,P-0023,Money Transfer,2025-05-29 15:00:00,Kulti,Suspect Movement recorded during Assault investigation.
EVT-0248,CASE-011,P-0191,Evidence Collected,2026-10-03 18:00:00,Ahmednagar,Suspect Movement recorded during Smuggling investigation.
EVT-0249,CASE-080,P-0526,Money Transfer,2024-10-07 14:00:00,Bhilai,Vehicle Sighted recorded during Extortion investigation.
EVT-0250,CASE-001,P-0473,Location Ping,2026-07-26 00:00:00,Tirunelveli,Suspect Movement recorded during Financial Fraud investigation.
EVT-PLANT-CHAIN-01,CASE-070,P-0618,Vehicle Sighted,2026-11-11 20:32:02,Burhanpur,"Vehicle V-0294 sighted with person P-0618, previously linked to P-0645 (chain CHAIN-01)."
EVT-PLANT-CHAIN-02,CASE-017,P-0066,Vehicle Sighted,2026-09-19 06:56:42,Latur,"Vehicle V-0097 sighted with person P-0066, previously linked to P-0210 (chain CHAIN-02)."
EVT-PLANT-CHAIN-03,CASE-064,P-0584,Vehicle Sighted,2025-09-19 03:55:38,Panchkula,"Vehicle V-0156 sighted with person P-0584, previously linked to P-0337 (chain CHAIN-03)."
EVT-PLANT-CHAIN-04,CASE-066,P-0567,Vehicle Sighted,2025-04-09 11:12:37,Chennai,"Vehicle V-0353 sighted with person P-0567, previously linked to P-0107 (chain CHAIN-04)."
EVT-PLANT-CHAIN-05,CASE-077,P-0192,Vehicle Sighted,2026-12-22 01:22:32,Bhiwandi,"Vehicle V-0198 sighted with person P-0192, previously linked to P-0028 (chain CHAIN-05)."
EVT-PLANT-CHAIN-06,CASE-017,P-0299,Vehicle Sighted,2026-02-26 02:46:53,Srikakulam,"Vehicle V-0036 sighted with person P-0299, previously linked to P-0239 (chain CHAIN-06)."
EVT-PLANT-CHAIN-07,CASE-067,P-0531,Vehicle Sighted,2026-08-01 10:52:14,Vadodara,"Vehicle V-0168 sighted with person P-0531, previously linked to P-0378 (chain CHAIN-07)."
EVT-PLANT-CHAIN-08,CASE-009,P-0114,Vehicle Sighted,2025-01-02 02:48:14,Burhanpur,"Vehicle V-0215 sighted with person P-0114, previously linked to P-0161 (chain CHAIN-08)."
EVT-PLANT-CHAIN-09,CASE-016,P-0212,Vehicle Sighted,2026-12-14 00:50:05,Kolkata,"Vehicle V-0106 sighted with person P-0212, previously linked to P-0399 (chain CHAIN-09)."
EVT-PLANT-CHAIN-10,CASE-050,P-0163,Vehicle Sighted,2025-12-12 13:25:23,Tadepalligudem,"Vehicle V-0159 sighted with person P-0163, previously linked to P-0487 (chain CHAIN-10)."
