pattern_type,entity_1,entity_2,relation,detail,split
cross_case_link,P-0277,P-0138,shared_burner_phone,PH-0277,train
identity_resolution,P-0162,P-0363,same_individual_alias,PH-0162,train
cross_case_link,P-0060,P-0134,money_mule_link,CHAIN-0087:A-0072>A-0119>A-0360>A-0166,train
cross_case_link,CASE-032,CASE-010,money_mule_link,CHAIN-0089:A-0452>A-0384>A-0293>A-0371>A-0269,train
identity_resolution,P-0254,P-0382,same_individual_alias,PH-0254,train
cross_case_link,P-0370,P-0384,money_mule_link,CHAIN-0097:A-0457>A-0043>A-0005>A-0472,train
cross_case_link,P-0163,P-0214,money_mule_link,A-0202>A-0267,test
cross_case_link,P-0236,P-0302,money_mule_link,A-0293>A-0371,test
cross_case_link,P-0102,P-0135,money_mule_link,A-0123>A-0167,train
identity_resolution,P-0157,P-0327,same_individual_alias,PH-0157,train
cross_case_link,P-0281,P-0046,money_mule_link,A-0346>A-0054,train
cross_case_link,P-0019,P-0273,money_mule_link,A-0023>A-0336,test
cross_case_link,P-0277,P-0188,money_mule_link,A-0341>A-0233,test
cross_case_link,P-0387,P-0021,money_mule_link,A-0476>A-0026,train
cross_case_link,P-0334,P-0126,money_mule_link,A-0411>A-0154,test
cross_case_link,P-0316,P-0161,money_mule_link,A-0388>A-0200,test
cross_case_link,P-0050,P-0105,money_mule_link,A-0059>A-0128,train
cross_case_link,P-0207,P-0131,money_mule_link,A-0258>A-0161,train
cross_case_link,CASE-002,CASE-056,money_mule_link,CHAIN-0179:A-0383>A-0458>A-0319>A-0277,test
cross_case_link,P-0382,P-0042,money_mule_link,A-0469>A-0049,test
cross_case_link,P-0232,P-0224,money_mule_link,A-0289>A-0279,test
identity_resolution,P-0374,P-0376,same_individual_alias,PH-0100,train
cross_case_link,P-0001,P-0156,money_mule_link,A-0001>A-0194,test
cross_case_link,P-0331,P-0128,money_mule_link,A-0405>A-0156,train
cross_case_link,P-0061,P-0173,money_mule_link,A-0073>A-0214,train
identity_resolution,P-0044,P-0319,same_individual_alias,PH-0044,test
cross_case_link,P-0307,P-0340,money_mule_link,A-0378>A-0419,train
cross_case_link,P-0381,P-0379,money_mule_link,A-0468>A-0466,train
cross_case_link,P-0299,P-0017,money_mule_link,A-0367>A-0021,train
cross_case_link,P-0228,P-0366,money_mule_link,A-0285>A-0453,train
cross_case_link,CASE-021,CASE-029,money_mule_link,CHAIN-0053:A-0013>A-0243>A-0055>A-0491>A-0446,test
cross_case_link,P-0343,P-0050,money_mule_link,A-0424>A-0059,train
cross_case_link,P-0125,P-0011,money_mule_link,A-0153>A-0013,train
cross_case_link,P-0163,P-0092,money_mule_link,CHAIN-0062:A-0202>A-0267>A-0111,train
cross_case_link,P-0386,P-0126,money_mule_link,A-0475>A-0154,train
cross_case_link,P-0370,P-0154,money_mule_link,A-0457>A-0192,train
cross_case_link,CASE-030,CASE-040,money_mule_link,CHAIN-0159:A-0329>A-0338>A-0010>A-0389,test
cross_case_link,P-0366,P-0139,money_mule_link,A-0453>A-0173,train
identity_resolution,P-0316,P-0317,same_individual_alias,PH-0153,train
cross_case_link,P-0060,P-0034,money_mule_link,CHAIN-0149:A-0072>A-0424>A-0349>A-0041,train
cross_case_link,P-0088,P-0081,money_mule_link,A-0106>A-0097,train
cross_case_link,P-0368,P-0360,money_mule_link,A-0455>A-0445,train
cross_case_link,P-0173,P-0303,money_mule_link,A-0214>A-0373,test
cross_case_link,P-0239,P-0216,money_mule_link,A-0297>A-0269,train
cross_case_link,P-0221,P-0277,shared_burner_phone,PH-0221,train
cross_case_link,P-0284,P-0034,money_mule_link,A-0349>A-0041,train
cross_case_link,P-0401,P-0324,money_mule_link,A-0492>A-0397,test
cross_case_link,P-0018,P-0302,money_mule_link,CHAIN-0031:A-0022>A-0173>A-0179>A-0371,train
cross_case_link,P-0119,P-0111,money_mule_link,A-0144>A-0135,train
identity_resolution,P-0217,P-0345,same_individual_alias,PH-0217,train
cross_case_link,CASE-002,CASE-026,money_mule_link,CHAIN-0182:A-0204>A-0492>A-0397,train
cross_case_link,CASE-047,CASE-043,money_mule_link,CHAIN-0050:A-0419>A-0272>A-0072,train
cross_case_link,P-0360,P-0147,shared_burner_phone,PH-0360,train
cross_case_link,P-0151,P-0008,money_mule_link,A-0189>A-0009,test
cross_case_link,P-0280,P-0358,money_mule_link,A-0345>A-0441,train
cross_case_link,CASE-014,CASE-038,money_mule_link,CHAIN-0088:A-0174>A-0004>A-0260>A-0130,train
identity_resolution,P-0184,P-0368,same_individual_alias,PH-0184,train
cross_case_link,CASE-003,CASE-008,money_mule_link,CHAIN-0199:A-0405>A-0297>A-0288>A-0474,train
cross_case_link,P-0322,P-0172,money_mule_link,CHAIN-0158:A-0395>A-0121>A-0213,test
cross_case_link,P-0231,P-0386,money_mule_link,A-0288>A-0474,train
identity_resolution,P-0061,P-0323,same_individual_alias,PH-0061,test
cross_case_link,CASE-006,CASE-055,money_mule_link,CHAIN-0019:A-0411>A-0414>A-0391>A-0285>A-0027,train
identity_resolution,P-0346,P-0347,same_individual_alias,PH-0096,train
identity_resolution,P-0184,P-0367,same_individual_alias,PH-0184,train
cross_case_link,CASE-013,CASE-042,money_mule_link,CHAIN-0167:A-0059>A-0476>A-0026>A-0084,test
cross_case_link,P-0013,P-0015,money_mule_link,A-0015>A-0019,train
cross_case_link,P-0090,P-0076,money_mule_link,A-0109>A-0091,train
cross_case_link,P-0185,P-0115,money_mule_link,A-0229>A-0139,train
cross_case_link,P-0021,P-0259,shared_burner_phone,PH-0021,train
identity_resolution,P-0343,P-0344,same_individual_alias,PH-0197,train
cross_case_link,P-0091,P-0260,money_mule_link,CHAIN-0148:A-0110>A-0281>A-0447>A-0486>A-0323,train
cross_case_link,CASE-044,CASE-050,money_mule_link,CHAIN-0185:A-0190>A-0015>A-0019,train
cross_case_link,P-0155,P-0306,money_mule_link,A-0193>A-0376,test
cross_case_link,CASE-008,CASE-048,money_mule_link,CHAIN-0174:A-0005>A-0048>A-0110>A-0123>A-0167,test
cross_case_link,P-0011,P-0028,money_mule_link,CHAIN-0165:A-0013>A-0006>A-0033,train
identity_resolution,P-0113,P-0396,same_individual_alias,PH-0113,train
cross_case_link,P-0060,P-0099,money_mule_link,A-0072>A-0119,test
cross_case_link,P-0312,P-0374,shared_burner_phone,PH-0312,train
cross_case_link,P-0051,P-0295,money_mule_link,A-0060>A-0363,test
cross_case_link,CASE-052,CASE-008,money_mule_link,CHAIN-0135:A-0403>A-0060>A-0363>A-0057>A-0073,train
identity_resolution,P-0250,P-0349,same_individual_alias,PH-0250,train
cross_case_link,CASE-055,CASE-039,money_mule_link,CHAIN-0122:A-0195>A-0258>A-0394,train
cross_case_link,CASE-058,CASE-043,money_mule_link,CHAIN-0176:A-0228>A-0468>A-0305>A-0236,train
cross_case_link,CASE-049,CASE-039,money_mule_link,CHAIN-0040:A-0363>A-0189>A-0153,train
cross_case_link,CASE-020,CASE-015,money_mule_link,CHAIN-0009:A-0185>A-0041>A-0189>A-0009,train
cross_case_link,P-0276,P-0100,money_mule_link,A-0340>A-0121,train
cross_case_link,P-0269,P-0087,money_mule_link,A-0332>A-0105,train
cross_case_link,P-0362,P-0147,money_mule_link,A-0447>A-0183,train
cross_case_link,CASE-028,CASE-008,money_mule_link,CHAIN-0109:A-0272>A-0354>A-0253>A-0480,test
cross_case_link,P-0307,P-0252,money_mule_link,A-0377>A-0313,train
cross_case_link,P-0153,P-0395,money_mule_link,A-0191>A-0485,train
cross_case_link,P-0336,P-0315,money_mule_link,A-0413>A-0387,train
cross_case_link,P-0042,P-0096,money_mule_link,A-0049>A-0115,train
cross_case_link,P-0214,P-0092,money_mule_link,A-0267>A-0111,train
cross_case_link,P-0376,P-0311,shared_burner_phone,PH-0376,test
cross_case_link,P-0005,P-0257,shared_burner_phone,PH-0005,train
cross_case_link,P-0393,P-0207,money_mule_link,A-0482>A-0258,test
cross_case_link,P-0249,P-0275,money_mule_link,CHAIN-0184:A-0308>A-0200>A-0381>A-0339,train
cross_case_link,P-0106,P-0296,money_mule_link,A-0129>A-0364,train
cross_case_link,CASE-008,CASE-012,money_mule_link,CHAIN-0140:A-0282>A-0026>A-0154,train
cross_case_link,P-0206,P-0023,money_mule_link,A-0257>A-0028,train
cross_case_link,P-0099,P-0293,money_mule_link,A-0119>A-0360,train
cross_case_link,P-0165,P-0391,money_mule_link,CHAIN-0150:A-0204>A-0084>A-0287>A-0480,train
cross_case_link,P-0195,P-0047,money_mule_link,A-0243>A-0055,train
cross_case_link,P-0209,P-0107,money_mule_link,A-0260>A-0130,train
cross_case_link,P-0002,P-0111,money_mule_link,CHAIN-0065:A-0002>A-0144>A-0135,train
cross_case_link,P-0309,P-0035,money_mule_link,CHAIN-0183:A-0380>A-0460>A-0170>A-0042,train
cross_case_link,P-0168,P-0020,money_mule_link,CHAIN-0086:A-0208>A-0237>A-0025,train
identity_resolution,P-0059,P-0307,same_individual_alias,PH-0059,train
cross_case_link,CASE-052,CASE-043,money_mule_link,CHAIN-0024:A-0048>A-0080>A-0493>A-0328>A-0191,train
cross_case_link,P-0015,P-0221,money_mule_link,CHAIN-0144:A-0019>A-0453>A-0377>A-0313>A-0276,test
identity_resolution,P-0116,P-0400,same_individual_alias,PH-0116,train
cross_case_link,P-0236,P-0096,money_mule_link,A-0293>A-0115,train
cross_case_link,P-0228,P-0022,money_mule_link,A-0285>A-0027,train
cross_case_link,P-0283,P-0099,money_mule_link,A-0348>A-0119,test
cross_case_link,P-0199,P-0055,money_mule_link,A-0247>A-0066,train
cross_case_link,P-0320,P-0131,money_mule_link,CHAIN-0064:A-0393>A-0482>A-0258>A-0161,test
cross_case_link,P-0070,P-0230,money_mule_link,A-0084>A-0287,train
cross_case_link,P-0021,P-0070,money_mule_link,A-0026>A-0084,train
cross_case_link,CASE-002,CASE-026,money_mule_link,CHAIN-0124:A-0341>A-0233>A-0387>A-0424>A-0454,train
identity_resolution,P-0100,P-0375,same_individual_alias,PH-0100,train
cross_case_link,P-0100,P-0004,money_mule_link,A-0121>A-0005,train
cross_case_link,CASE-042,CASE-022,money_mule_link,CHAIN-0105:A-0121>A-0371>A-0399>A-0387>A-0476,test
cross_case_link,P-0041,P-0153,money_mule_link,CHAIN-0024:A-0048>A-0080>A-0493>A-0328>A-0191,test
cross_case_link,P-0129,P-0145,money_mule_link,A-0158>A-0181,train
cross_case_link,P-0046,P-0290,shared_burner_phone,PH-0046,train
cross_case_link,P-0151,P-0080,money_mule_link,A-0189>A-0096,train
identity_resolution,P-0252,P-0385,same_individual_alias,PH-0252,train
cross_case_link,P-0005,P-0087,shared_burner_phone,PH-0005,train
cross_case_link,CASE-060,CASE-009,money_mule_link,CHAIN-0195:A-0014>A-0191>A-0485>A-0022>A-0074,train
cross_case_link,P-0168,P-0390,money_mule_link,CHAIN-0187:A-0208>A-0386>A-0479,train
identity_resolution,P-0338,P-0340,same_individual_alias,PH-0071,train
cross_case_link,P-0310,P-0275,money_mule_link,A-0381>A-0339,train
cross_case_link,P-0082,P-0055,money_mule_link,CHAIN-0021:A-0098>A-0144>A-0059>A-0421>A-0065,train
cross_case_link,CASE-022,CASE-032,money_mule_link,CHAIN-0054:A-0476>A-0333>A-0062,test
identity_resolution,P-0319,P-0320,same_individual_alias,PH-0044,test
identity_resolution,P-0028,P-0366,same_individual_alias,PH-0028,train
cross_case_link,CASE-055,CASE-058,money_mule_link,CHAIN-0017:A-0147>A-0345>A-0166,train
cross_case_link,P-0163,P-0047,money_mule_link,CHAIN-0119:A-0202>A-0266>A-0118>A-0131>A-0055,test
cross_case_link,P-0290,P-0224,money_mule_link,A-0356>A-0279,train
cross_case_link,P-0391,P-0266,money_mule_link,A-0480>A-0329,train
cross_case_link,P-0163,P-0213,money_mule_link,A-0202>A-0266,test
cross_case_link,P-0341,P-0360,money_mule_link,CHAIN-0133:A-0421>A-0317>A-0445,test
cross_case_link,P-0154,P-0001,money_mule_link,A-0192>A-0001,train
cross_case_link,CASE-045,CASE-020,money_mule_link,CHAIN-0082:A-0433>A-0463>A-0061>A-0413,train
cross_case_link,P-0313,P-0340,money_mule_link,A-0385>A-0420,train
cross_case_link,P-0315,P-0378,money_mule_link,A-0387>A-0465,train
cross_case_link,P-0240,P-0280,money_mule_link,A-0298>A-0345,test
cross_case_link,P-0396,P-0260,money_mule_link,A-0486>A-0323,train
cross_case_link,CASE-050,CASE-052,money_mule_link,CHAIN-0190:A-0477>A-0398>A-0425>A-0254,train
cross_case_link,P-0241,P-0096,money_mule_link,CHAIN-0048:A-0300>A-0094>A-0308>A-0115,test
cross_case_link,P-0257,P-0022,money_mule_link,CHAIN-0200:A-0320>A-0344>A-0027,train
cross_case_link,P-0334,P-0232,money_mule_link,A-0410>A-0289,train
cross_case_link,P-0352,P-0336,money_mule_link,CHAIN-0082:A-0433>A-0463>A-0061>A-0413,test
cross_case_link,CASE-054,CASE-055,money_mule_link,CHAIN-0047:A-0046>A-0208>A-0097>A-0323>A-0213,train
cross_case_link,P-0204,P-0109,money_mule_link,A-0255>A-0133,train
cross_case_link,P-0091,P-0226,money_mule_link,A-0110>A-0281,train
cross_case_link,P-0315,P-0195,money_mule_link,A-0387>A-0243,train
identity_resolution,P-0016,P-0395,same_individual_alias,PH-0016,train
cross_case_link,CASE-043,CASE-053,money_mule_link,CHAIN-0173:A-0086>A-0124>A-0469>A-0049>A-0115,train
cross_case_link,P-0164,P-0183,money_mule_link,CHAIN-0142:A-0203>A-0341>A-0227,train
cross_case_link,P-0057,P-0164,shared_burner_phone,PH-0057,train
cross_case_link,CASE-058,CASE-050,money_mule_link,CHAIN-0153:A-0237>A-0257>A-0028,train
identity_resolution,P-0100,P-0374,same_individual_alias,PH-0100,train
cross_case_link,P-0043,P-0366,money_mule_link,CHAIN-0134:A-0051>A-0008>A-0061>A-0453,train
cross_case_link,P-0165,P-0324,money_mule_link,CHAIN-0182:A-0204>A-0492>A-0397,train
cross_case_link,P-0071,P-0267,money_mule_link,A-0085>A-0330,train
cross_case_link,P-0138,P-0249,money_mule_link,A-0171>A-0308,train
cross_case_link,P-0013,P-0168,money_mule_link,A-0016>A-0208,train
cross_case_link,CASE-035,CASE-005,money_mule_link,CHAIN-0172:A-0041>A-0095>A-0360>A-0148,train
cross_case_link,P-0218,P-0289,money_mule_link,A-0272>A-0354,test
cross_case_link,P-0160,P-0234,shared_burner_phone,PH-0160,train
cross_case_link,P-0061,P-0124,money_mule_link,A-0073>A-0152,train
cross_case_link,P-0255,P-0202,money_mule_link,CHAIN-0057:A-0318>A-0460>A-0253,train
cross_case_link,P-0296,P-0357,money_mule_link,CHAIN-0007:A-0364>A-0467>A-0440,train
identity_resolution,P-0285,P-0352,same_individual_alias,PH-0285,train
cross_case_link,P-0354,P-0368,money_mule_link,A-0436>A-0455,train
cross_case_link,CASE-025,CASE-053,money_mule_link,CHAIN-0006:A-0223>A-0345>A-0163>A-0419>A-0310,train
cross_case_link,P-0337,P-0372,money_mule_link,A-0414>A-0459,train
cross_case_link,P-0206,P-0154,money_mule_link,A-0257>A-0192,train
cross_case_link,P-0104,P-0202,shared_burner_phone,PH-0104,train
cross_case_link,P-0161,P-0051,money_mule_link,A-0200>A-0060,test
cross_case_link,P-0330,P-0051,money_mule_link,A-0403>A-0060,test
identity_resolution,P-0384,P-0386,same_individual_alias,PH-0252,train
cross_case_link,P-0185,P-0396,money_mule_link,A-0229>A-0486,train
cross_case_link,P-0159,P-0007,money_mule_link,A-0197>A-0008,train
cross_case_link,P-0168,P-0157,money_mule_link,CHAIN-0147:A-0208>A-0245>A-0195,train
cross_case_link,CASE-030,CASE-001,money_mule_link,CHAIN-0062:A-0202>A-0267>A-0111,test
cross_case_link,P-0024,P-0400,money_mule_link,A-0029>A-0491,train
cross_case_link,P-0273,P-0379,money_mule_link,A-0336>A-0466,train
cross_case_link,P-0060,P-0227,money_mule_link,A-0072>A-0282,train
cross_case_link,P-0005,P-0239,money_mule_link,A-0006>A-0297,train
cross_case_link,P-0165,P-0196,money_mule_link,CHAIN-0110:A-0204>A-0273>A-0244,train
cross_case_link,P-0391,P-0338,money_mule_link,A-0480>A-0416,train
cross_case_link,P-0254,P-0388,money_mule_link,A-0317>A-0477,train
cross_case_link,P-0295,P-0342,shared_burner_phone,PH-0295,train
identity_resolution,P-0377,P-0378,same_individual_alias,PH-0288,train
cross_case_link,P-0232,P-0043,money_mule_link,CHAIN-0128:A-0289>A-0279>A-0349>A-0050,test
cross_case_link,P-0087,P-0081,money_mule_link,A-0105>A-0097,train
cross_case_link,P-0341,P-0017,money_mule_link,A-0421>A-0021,train
cross_case_link,P-0232,P-0378,money_mule_link,CHAIN-0177:A-0289>A-0095>A-0087>A-0465,train
cross_case_link,P-0152,P-0015,money_mule_link,CHAIN-0185:A-0190>A-0015>A-0019,test
cross_case_link,P-0139,P-0044,money_mule_link,A-0173>A-0052,train
cross_case_link,P-0275,P-0212,shared_burner_phone,PH-0275,train
cross_case_link,P-0213,P-0098,money_mule_link,A-0266>A-0118,test
cross_case_link,CASE-041,CASE-009,money_mule_link,CHAIN-0092:A-0482>A-0490>A-0464,train
cross_case_link,P-0011,P-0314,money_mule_link,A-0013>A-0386,train
cross_case_link,P-0323,P-0090,money_mule_link,A-0396>A-0109,train
cross_case_link,CASE-058,CASE-047,money_mule_link,CHAIN-0108:A-0106>A-0097>A-0385>A-0420,train
identity_resolution,P-0072,P-0361,same_individual_alias,PH-0072,train
identity_resolution,P-0357,P-0358,same_individual_alias,PH-0251,train
cross_case_link,CASE-060,CASE-037,money_mule_link,CHAIN-0033:A-0349>A-0247>A-0457,train
cross_case_link,P-0280,P-0134,money_mule_link,A-0345>A-0166,test
cross_case_link,P-0009,P-0348,money_mule_link,A-0010>A-0429,train
cross_case_link,P-0121,P-0134,money_mule_link,CHAIN-0017:A-0147>A-0345>A-0166,train
cross_case_link,CASE-007,CASE-051,money_mule_link,CHAIN-0020:A-0480>A-0416>A-0194>A-0253,train
cross_case_link,CASE-034,CASE-028,money_mule_link,CHAIN-0052:A-0171>A-0308>A-0460,train
cross_case_link,P-0275,P-0291,money_mule_link,A-0339>A-0357,test
cross_case_link,P-0046,P-0158,money_mule_link,A-0054>A-0196,train
cross_case_link,P-0385,P-0285,money_mule_link,CHAIN-0091:A-0473>A-0182>A-0350,train
cross_case_link,P-0270,P-0301,money_mule_link,CHAIN-0068:A-0333>A-0121>A-0003>A-0370,test
cross_case_link,P-0004,P-0251,money_mule_link,A-0005>A-0311,test
identity_resolution,P-0096,P-0347,same_individual_alias,PH-0096,test
cross_case_link,P-0143,P-0051,money_mule_link,CHAIN-0045:A-0179>A-0363>A-0388>A-0200>A-0060,train
cross_case_link,P-0070,P-0001,money_mule_link,CHAIN-0130:A-0084>A-0457>A-0192>A-0001,train
cross_case_link,P-0015,P-0374,money_mule_link,A-0019>A-0461,train
cross_case_link,P-0293,P-0134,money_mule_link,A-0360>A-0166,train
cross_case_link,CASE-027,CASE-049,money_mule_link,CHAIN-0183:A-0380>A-0460>A-0170>A-0042,test
cross_case_link,P-0350,P-0141,money_mule_link,A-0431>A-0176,test
cross_case_link,P-0021,P-0187,money_mule_link,A-0026>A-0231,train
identity_resolution,P-0348,P-0349,same_individual_alias,PH-0250,test
cross_case_link,P-0381,P-0012,money_mule_link,A-0468>A-0014,train
cross_case_link,CASE-031,CASE-043,money_mule_link,CHAIN-0118:A-0468>A-0466>A-0130>A-0243,test
cross_case_link,P-0226,P-0362,money_mule_link,A-0281>A-0447,train
identity_resolution,P-0179,P-0308,same_individual_alias,PH-0179,train
cross_case_link,P-0084,P-0372,money_mule_link,CHAIN-0198:A-0100>A-0240>A-0416>A-0238>A-0459,train
cross_case_link,P-0237,P-0391,money_mule_link,A-0294>A-0480,train
cross_case_link,P-0374,P-0332,money_mule_link,A-0461>A-0407,train
cross_case_link,P-0268,P-0088,money_mule_link,CHAIN-0074:A-0331>A-0288>A-0397>A-0433>A-0107,train
cross_case_link,P-0024,P-0008,money_mule_link,A-0029>A-0009,train
cross_case_link,P-0197,P-0335,money_mule_link,A-0245>A-0412,train
cross_case_link,P-0386,P-0008,money_mule_link,CHAIN-0028:A-0474>A-0339>A-0357>A-0029>A-0009,train
cross_case_link,P-0391,P-0119,money_mule_link,A-0480>A-0144,test
cross_case_link,P-0076,P-0008,shared_burner_phone,PH-0076,test
cross_case_link,P-0048,P-0335,money_mule_link,CHAIN-0081:A-0056>A-0216>A-0245>A-0412,train
identity_resolution,P-0372,P-0373,same_individual_alias,PH-0070,train
cross_case_link,P-0153,P-0291,money_mule_link,A-0191>A-0357,test
cross_case_link,P-0344,P-0203,money_mule_link,A-0425>A-0254,train
cross_case_link,CASE-018,CASE-007,money_mule_link,CHAIN-0001:A-0293>A-0115>A-0170,train
cross_case_link,CASE-022,CASE-007,money_mule_link,CHAIN-0114:A-0356>A-0279>A-0021,train
cross_case_link,P-0072,P-0053,money_mule_link,CHAIN-0188:A-0086>A-0093>A-0062,test
cross_case_link,P-0134,P-0283,money_mule_link,A-0166>A-0348,train
cross_case_link,P-0225,P-0370,money_mule_link,CHAIN-0044:A-0280>A-0110>A-0324>A-0457,train
cross_case_link,P-0332,P-0087,money_mule_link,A-0408>A-0105,train
cross_case_link,P-0211,P-0237,money_mule_link,A-0263>A-0294,train
cross_case_link,CASE-018,CASE-026,money_mule_link,CHAIN-0112:A-0093>A-0371>A-0192,test
cross_case_link,CASE-043,CASE-054,money_mule_link,CHAIN-0069:A-0235>A-0019>A-0386,test
cross_case_link,CASE-046,CASE-041,money_mule_link,CHAIN-0125:A-0294>A-0424>A-0373>A-0330>A-0328,train
identity_resolution,P-0250,P-0348,same_individual_alias,PH-0250,train
cross_case_link,P-0098,P-0385,money_mule_link,A-0118>A-0473,train
identity_resolution,P-0290,P-0393,same_individual_alias,PH-0290,test
cross_case_link,P-0189,P-0109,money_mule_link,CHAIN-0191:A-0234>A-0324>A-0102>A-0255>A-0133,train
cross_case_link,P-0119,P-0225,shared_burner_phone,PH-0119,train
identity_resolution,P-0100,P-0376,same_individual_alias,PH-0100,train
identity_resolution,P-0335,P-0337,same_individual_alias,PH-0215,train
cross_case_link,P-0239,P-0019,money_mule_link,A-0297>A-0023,train
cross_case_link,P-0098,P-0108,money_mule_link,A-0118>A-0131,train
cross_case_link,P-0188,P-0315,money_mule_link,A-0233>A-0387,train
cross_case_link,P-0078,P-0154,money_mule_link,CHAIN-0112:A-0093>A-0371>A-0192,train
cross_case_link,P-0261,P-0085,money_mule_link,A-0324>A-0102,train
cross_case_link,P-0391,P-0202,money_mule_link,CHAIN-0020:A-0480>A-0416>A-0194>A-0253,train
cross_case_link,P-0173,P-0205,money_mule_link,CHAIN-0162:A-0214>A-0206>A-0421>A-0256,train
cross_case_link,P-0160,P-0380,money_mule_link,A-0199>A-0467,train
identity_resolution,P-0197,P-0343,same_individual_alias,PH-0197,train
cross_case_link,P-0277,P-0183,money_mule_link,A-0341>A-0227,train
cross_case_link,P-0193,P-0066,money_mule_link,A-0241>A-0080,train
cross_case_link,P-0249,P-0096,money_mule_link,A-0308>A-0115,train
identity_resolution,P-0089,P-0314,same_individual_alias,PH-0089,test
cross_case_link,P-0118,P-0143,shared_burner_phone,PH-0118,train
cross_case_link,P-0340,P-0218,money_mule_link,A-0419>A-0272,train
cross_case_link,P-0215,P-0128,money_mule_link,CHAIN-0131:A-0268>A-0250>A-0373>A-0121>A-0156,test
cross_case_link,P-0240,P-0305,money_mule_link,A-0298>A-0375,test
cross_case_link,P-0141,P-0374,money_mule_link,A-0176>A-0461,train
cross_case_link,P-0310,P-0231,money_mule_link,A-0381>A-0288,train
cross_case_link,P-0168,P-0081,money_mule_link,A-0208>A-0097,train
cross_case_link,P-0215,P-0211,money_mule_link,A-0268>A-0262,train
cross_case_link,CASE-006,CASE-040,money_mule_link,CHAIN-0103:A-0411>A-0154>A-0141>A-0436>A-0455,test
identity_resolution,P-0123,P-0326,same_individual_alias,PH-0123,train
cross_case_link,P-0383,P-0272,money_mule_link,A-0471>A-0335,train
cross_case_link,P-0135,P-0299,money_mule_link,CHAIN-0049:A-0167>A-0387>A-0243>A-0397>A-0368,train
cross_case_link,P-0165,P-0401,money_mule_link,A-0204>A-0492,train
cross_case_link,P-0226,P-0140,money_mule_link,A-0281>A-0174,test
cross_case_link,P-0175,P-0250,money_mule_link,A-0217>A-0309,train
cross_case_link,P-0324,P-0299,money_mule_link,A-0397>A-0368,train
cross_case_link,CASE-059,CASE-024,money_mule_link,CHAIN-0013:A-0297>A-0269>A-0263>A-0294,train
identity_resolution,P-0385,P-0386,same_individual_alias,PH-0252,train
cross_case_link,P-0208,P-0388,shared_burner_phone,PH-0208,train
cross_case_link,P-0379,P-0349,money_mule_link,CHAIN-0155:A-0466>A-0163>A-0430,train
cross_case_link,P-0358,P-0231,money_mule_link,A-0441>A-0288,train
cross_case_link,P-0341,P-0205,money_mule_link,A-0421>A-0256,train
cross_case_link,P-0174,P-0149,money_mule_link,CHAIN-0166:A-0216>A-0446>A-0109>A-0186,train
cross_case_link,P-0013,P-0159,money_mule_link,A-0016>A-0197,train
cross_case_link,P-0254,P-0360,money_mule_link,A-0317>A-0445,train
cross_case_link,CASE-034,CASE-024,money_mule_link,CHAIN-0066:A-0320>A-0479>A-0073>A-0152,train
cross_case_link,CASE-015,CASE-039,money_mule_link,CHAIN-0042:A-0009>A-0104>A-0074>A-0268,train
cross_case_link,P-0261,P-0370,money_mule_link,A-0324>A-0457,train
cross_case_link,P-0325,P-0060,money_mule_link,A-0398>A-0072,train
cross_case_link,P-0165,P-0070,money_mule_link,A-0204>A-0084,train
cross_case_link,P-0266,P-0317,money_mule_link,CHAIN-0159:A-0329>A-0338>A-0010>A-0389,train
cross_case_link,P-0311,P-0371,money_mule_link,A-0383>A-0458,train
cross_case_link,P-0349,P-0085,money_mule_link,A-0430>A-0102,train
cross_case_link,P-0050,P-0387,money_mule_link,A-0059>A-0476,train
cross_case_link,P-0326,P-0315,money_mule_link,A-0399>A-0387,test
cross_case_link,P-0375,P-0019,money_mule_link,A-0462>A-0023,train
cross_case_link,P-0184,P-0190,money_mule_link,CHAIN-0176:A-0228>A-0468>A-0305>A-0236,train
cross_case_link,P-0151,P-0369,money_mule_link,A-0189>A-0456,train
identity_resolution,P-0325,P-0326,same_individual_alias,PH-0123,train
cross_case_link,P-0250,P-0004,money_mule_link,A-0310>A-0005,test
cross_case_link,P-0299,P-0372,money_mule_link,CHAIN-0039:A-0367>A-0021>A-0414>A-0459,train
cross_case_link,P-0371,P-0256,money_mule_link,A-0458>A-0319,test
cross_case_link,P-0148,P-0008,money_mule_link,CHAIN-0009:A-0185>A-0041>A-0189>A-0009,test
cross_case_link,P-0343,P-0380,money_mule_link,A-0424>A-0467,train
cross_case_link,CASE-034,CASE-041,money_mule_link,CHAIN-0115:A-0409>A-0118>A-0473>A-0045>A-0482,train
cross_case_link,P-0056,P-0278,money_mule_link,A-0067>A-0343,test
cross_case_link,P-0190,P-0314,money_mule_link,CHAIN-0069:A-0235>A-0019>A-0386,train
cross_case_link,P-0082,P-0119,money_mule_link,A-0098>A-0144,test
cross_case_link,P-0260,P-0172,money_mule_link,A-0323>A-0213,train
cross_case_link,CASE-031,CASE-052,money_mule_link,CHAIN-0101:A-0240>A-0242>A-0308>A-0408>A-0105,train
cross_case_link,P-0385,P-0146,money_mule_link,A-0473>A-0182,train
cross_case_link,P-0207,P-0254,money_mule_link,A-0258>A-0317,train
cross_case_link,CASE-037,CASE-022,money_mule_link,CHAIN-0123:A-0457>A-0332>A-0105>A-0097>A-0061,train
identity_resolution,P-0210,P-0383,same_individual_alias,PH-0210,train
identity_resolution,P-0116,P-0401,same_individual_alias,PH-0116,train
